Year-Month,ME1 BM1,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,ME1 BM10,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,ME10 BM10
200001,24.3415,19.2668,19.3539,18.0171,10.7235,7.8678,9.0232,9.8741,12.3248,15.7086,13.0575,6.2344,7.2407,3.5282,2.1405,2.3897,0.4372,-0.8747,-2.1388,2.0648,3.6806,-0.2128,3.9901,-5.6082,-4.349,-0.0919,3.108,-0.5531,-1.8491,3.2262,0.3841,0.5164,-7.1644,-4.4833,-6.331,-3.962,-2.2234,-6.4021,-5.3118,-5.0164,-7.5125,-2.4216,-4.3416,-3.9653,-2.75,-3.0495,-1.8832,-9.1396,-4.634,-11.0452,-5.1915,-6.9713,-6.8224,-8.354,-4.9692,-1.7615,-5.6864,-5.1218,-6.3213,-0.916,-3.7227,-5.8785,-3.7071,-4.4948,-9.948,-0.2987,-4.7986,-6.6034,-1.8748,-5.5513,0.2647,-5.7271,-4.9153,-2.7915,-1.3283,-7.9446,-8.0982,-7.2636,-13.8522,-0.5055,-0.2841,-9.0695,-7.3289,-8.7154,-6.9447,-3.4632,-2.1676,-12.3134,-10.8267,-10.8863,-5.5621,-2.8379,-3.6561,-0.7318,-7.2878,-4.2195,-6.5547,-99.99,-4.2329,-99.99
200002,33.006,23.2243,33.2371,22.7635,15.7557,14.5257,18.275,13.9346,17.2925,19.1206,40.1969,23.0616,25.1891,12.3668,9.2823,5.2328,6.7129,11.4009,3.2623,8.2155,23.2646,18.322,12.3894,18.6574,1.0247,5.4288,2.0097,4.5727,4.7941,3.9745,23.6947,16.0944,1.9594,15.074,-0.3712,-2.2889,3.2696,3.149,11.8561,-2.1237,13.4772,16.7371,11.393,6.6135,-0.189,2.1665,4.7124,-0.1282,-4.2954,2.8078,24.9202,-1.914,4.8092,-3.2129,0.5093,-1.9351,-2.7919,-4.5749,-3.9526,-7.7289,29.4908,2.8899,-4.6208,-4.0966,-6.527,-2.3204,-0.8541,11.5594,-1.8646,-1.7956,18.7561,4.8818,-0.6305,-6.2312,-11.3512,0.2503,-6.4762,-9.7143,-6.911,0.8535,7.9103,6.9953,-3.2205,-8.4853,-10.3944,-12.5398,-8.0672,-8.5234,-9.2407,-15.9912,-2.3065,-6.1111,-8.2477,-6.9776,-8.2009,-11.9967,-12.6404,-99.99,-22.77,-99.99
200003,-3.1811,-2.0866,-4.9578,-4.1287,-2.3156,-4.0161,-0.0413,-1.3999,-1.3516,-1.2398,-9.9807,-5.6988,-5.1197,-5.1644,-4.2361,3.6698,1.9524,1.2774,5.318,0.0269,-9.6924,-6.9629,3.3415,-0.324,4.4869,-0.7437,5.5421,1.0598,-0.5604,8.698,-8.6341,-2.7789,3.4174,0.6741,2.2069,1.1528,4.7477,1.2129,0.7319,4.1296,-7.23,-4.645,-1.0904,0.8444,13.561,4.3439,3.6707,4.8355,17.7391,5.6589,-2.4754,3.6886,10.7501,10.7734,11.5163,8.4538,8.0048,10.222,13.4784,19.9594,4.6343,15.0798,18.959,16.2674,23.7198,16.3924,19.6729,1.4573,14.145,22.0678,2.418,11.975,16.4586,17.0541,15.778,15.2029,16.8147,15.0029,7.211,17.6565,5.8358,10.4963,10.7731,13.558,12.903,4.6207,11.8712,20.5143,21.567,19.9042,9.4223,12.1193,11.9121,10.8357,10.8593,20.7304,7.8889,-99.99,34.9544,-99.99
200004,-27.4124,-21.7108,-22.4053,-15.5889,-12.5648,-6.86,-9.6182,-8.2997,-8.8369,-9.3216,-22.794,-13.9457,-7.9402,-6.4493,-7.5015,-3.4219,-3.8251,-3.8093,-2.3885,-7.1282,-19.8479,-9.4871,-13.3918,-4.5364,-4.0956,-5.876,-4.6177,-4.1646,-1.6901,-5.6391,-17.965,-5.14,-3.2352,-1.1336,-1.0304,-3.5959,7.8942,0.3459,1.6715,-3.3262,-11.9604,-6.9388,-1.9717,-1.3397,-0.3754,7.4809,2.7057,6.083,2.7706,-0.6057,-5.585,-0.9737,-0.5814,3.5718,-1.5481,-0.0501,6.7481,-0.2622,0.3856,-8.7696,-7.3848,-4.7495,-3.9233,-1.1729,-0.106,0.6489,3.9764,-3.1858,3.5804,4.2763,-6.2593,-3.6055,0.4852,-3.1777,2.0303,3.0568,0.0455,-1.4856,-2.0159,1.8699,-7.8602,-4.9359,1.8297,0.5335,4.5007,5.7167,6.129,3.947,0.3926,-4.3835,-1.3529,0.4894,-2.2906,0.197,-2.2891,5.5517,3.5154,-99.99,4.6396,-99.99
200005,-14.9946,-12.5815,-11.4001,-8.1788,-7.8468,-6.2557,-7.8018,-4.4337,-5.6034,-6.9175,-12.9187,-15.6075,-5.8093,-9.6943,-4.4417,-6.5217,-2.6313,-4.2672,-3.9912,-6.9252,-9.5185,-8.3323,-7.5606,-7.913,-3.2133,-4.861,-4.4138,-6.8784,-2.0456,-5.521,-9.8362,-8.9747,-3.9795,0.7142,-2.272,-4.0413,-0.4992,2.1548,-0.3738,-5.7503,-4.3483,-1.7058,-1.2107,-5.8854,0.8122,0.9557,-4.3433,-2.6266,8.0604,9.9066,-7.618,-1.2114,-1.9509,0.3934,0.0561,-2.249,3.0927,6.4098,1.616,-1.0532,-6.1324,-2.4107,1.6006,1.4568,1.5348,0.1884,-5.1812,-3.359,-3.7734,10.1152,-2.9005,-1.8428,5.0086,-2.2203,0.5192,0.7543,1.2793,2.371,2.2258,-1.8568,-3.0283,-1.8701,-3.8815,5.4241,2.4502,2.9513,2.7122,10.697,6.4273,5.9838,-0.1866,1.2491,3.4483,2.9486,3.4404,8.3442,5.4909,-99.99,15.3348,-99.99
200006,11.2441,9.1849,16.3861,9.7358,10.8002,9.1614,10.9125,7.3464,7.3018,6.3195,21.7342,25.3143,18.8176,16.0847,12.8566,8.4578,0.0221,12.3796,6.2056,5.673,14.3507,5.022,17.4568,6.9906,3.2938,4.1322,6.5646,-1.0255,4.1345,-0.1587,19.94,6.3705,3.0081,8.3289,0.9749,0.4895,7.175,-0.2597,2.3493,-3.5528,10.1423,7.2432,8.7364,1.7068,-1.5262,2.4131,-2.5062,1.4143,-2.6465,7.9751,14.2178,10.9518,0.2881,-5.2793,0.1864,1.3507,-4.2327,-3.7321,-2.7206,8.5524,13.9895,1.1683,1.1231,1.3222,-7.7025,-3.1175,-6.59,-2.2692,-6.751,-1.6246,9.5512,-1.4622,1.2542,-1.0602,-3.2716,-4.7852,-0.8077,-6.3145,-7.0832,4.1692,7.9712,5.6687,-4.0047,-12.0918,-6.5581,-5.5747,-6.8146,-4.4406,-8.1801,-0.258,4.4728,-6.5599,-7.4875,-7.0292,-4.1514,-5.8726,-10.6178,-99.99,-3.839,-99.99
200007,-7.8259,-9.1386,-5.9793,-3.532,0.4529,-1.8953,-0.7325,1.4104,0.1431,-0.1852,-10.5973,-4.7651,1.3546,-2.2943,-0.826,2.8165,2.4594,1.3543,2.2875,2.8372,-5.404,-3.6502,-1.2804,-2.6878,1.8222,0.8277,0.8837,3.0991,3.422,0.6422,-11.9954,-5.1719,-2.6698,0.3256,0.7628,2.5023,4.0684,-2.6411,0.661,-12.1114,-12.9218,-4.6086,0.9563,0.7315,0.7291,5.6362,1.494,3.8771,8.0285,1.7448,-11.6095,-7.4847,-4.5705,1.8447,3.5611,5.852,2.29,0.2669,6.0993,11.1802,-8.9736,-8.8324,-2.6712,0.3008,1.6824,6.6843,-0.1246,-0.7959,4.0147,-99.99,-7.4402,-2.9156,-2.8024,3.1037,2.0218,5.655,4.7593,1.7305,3.2935,-5.037,-7.9506,0.1957,4.0239,2.7154,1.539,2.2064,7.4336,7.7392,5.7257,1.7998,-4.9718,0.0132,0.1668,1.972,8.9267,7.2454,2.5649,23.8764,-99.99,-3.259
200008,5.2776,3.3588,3.1432,3.8811,3.919,3.9555,3.7135,2.8715,5.321,3.2344,12.7466,10.5055,11.2071,8.281,3.4377,3.7086,6.8053,5.4344,8.2706,4.81,9.5371,7.9369,2.9689,6.2964,3.3544,2.6371,7.4818,5.8031,7.4048,1.4754,8.5093,10.3013,4.4779,5.1163,3.9648,4.5679,5.8183,9.984,7.9744,17.8011,8.7757,13.0432,12.0093,9.2624,1.2902,7.3884,5.8377,10.185,9.598,-3.5326,7.6817,8.3524,11.7663,8.2414,10.0597,6.537,5.5603,6.6257,11.8965,3.3824,11.2699,13.7334,7.901,6.194,4.2472,5.8173,6.9229,5.5149,5.535,-99.99,17.3622,14.3043,4.5762,5.9489,6.5873,6.0469,6.5366,9.2816,7.0403,10.2178,13.0356,11.0373,4.7585,6.4082,8.6028,13.0625,7.485,6.1473,3.5349,6.0416,11.5424,7.6842,7.7196,7.3586,14.3932,10.3632,4.7308,6.059,-99.99,7.4468
200009,-11.7667,-9.7128,-4.2833,-4.0384,-2.9731,-1.7524,-2.4193,-0.7441,-2.9495,-1.8797,-12.5367,-9.0678,-0.3386,-1.9868,-0.6486,-5.1241,-1.2015,-1.3704,0.4609,-1.6235,-6.8156,-9.4296,-11.057,-1.6813,-2.7742,2.386,-3.4336,1.0457,-0.7022,-5.5876,-6.1133,-4.0721,-6.2637,1.3319,-2.6086,1.2523,-4.8687,-0.9013,-0.215,-8.36,-16.6257,-5.646,-3.3494,-2.572,-5.695,3.7294,6.1592,-1.0243,-1.9498,1.3733,-12.2124,-10.9056,-1.0318,-6.1542,-2.6178,3.1834,0.9851,0.6875,2.0804,4.9944,-9.4004,-5.3992,-3.1185,-2.2909,-1.4257,-1.2443,3.0059,-1.1509,0.0133,-99.99,-12.8559,-10.5779,1.6464,-0.2983,0.9781,-3.0494,0.1794,2.0335,-2.0502,8.5482,-5.0716,-1.668,1.8871,-4.9397,2.8935,4.4967,11.0709,-0.3061,0.2035,-1.2402,-5.3033,-2.1891,-0.8666,1.5445,2.861,7.4592,11.2101,19.5699,-99.99,-12.8713
200010,-13.7856,-11.3561,-11.9923,-6.0271,-4.9222,-5.4604,-5.2474,-5.3133,-5.6895,-8.2089,-17.4678,-4.9783,-10.7751,-10.0962,-1.6466,-3.9547,-2.7521,-8.5295,-3.6818,-4.1922,-13.1014,-4.1414,-3.6419,-5.4143,-2.9366,1.646,-1.9733,-1.937,-1.6784,0.6561,-17.0419,-4.6002,-1.4146,3.3825,-5.5799,-0.1594,-0.5568,1.2154,-2.8364,2.2714,-14.1866,-3.6071,-3.8464,1.5769,3.808,0.6466,-6.5773,2.1471,-0.3596,18.9469,-18.4862,-6.2934,-2.6003,0.1161,-1.2357,-2.6225,-0.8928,0.0696,1.119,7.9396,-8.8676,-5.1707,2.5765,-0.4351,-3.0692,-1.6918,6.2137,-7.1001,-1.0864,-99.99,-6.4177,-3.7851,1.5168,5.5367,4.6065,5.1088,-2.2341,-4.7384,-0.1603,19.7088,-7.876,-1.0183,4.6883,2.4101,2.1761,-0.0686,0.7898,5.9096,3.7021,-0.579,-4.3324,1.4689,0.2975,6.2911,-4.6928,0.0604,-0.7792,15.8273,-99.99,0.7576
